
T6 S:28994, R 2899

T6 S:29724, R 2972

T6 C:29725, E:1

T3 S:29725, R 1486

T3 C:29726, E:1

T1 S:29726, R 8918

T1 C:29727, E:1

T5 S:29727, R 1486

T5 C:29728, E:1

T1 S:29729, R 8919

T1 C:29730, E:1

T2 S:29730, R 2973

T2 C:29731, E:1

T4 S:29731, R 2973

T4 C:29733, E:2

T1 S:29733, R 8920

T1 C:29734, E:1

T6 S:29734, R 2973

T6 C:29735, E:1

T1 S:29736, R 8921

T1 C:29737, E:1

T1 S:29739, R 8922

T1 C:29740, E:1

T2 S:29740, R 2974

T2 C:29741, E:1

T4 S:29741, R 2974

T4 C:29743, E:2

T1 S:29743, R 8923

T1 C:29744, E:1

T6 S:29744, R 2974

T6 C:29745, E:1

T3 S:29745, R 1487

T3 C:29746, E:1

T1 S:29746, R 8924

T1 C:29747, E:1

T5 S:29747, R 1487

T5 C:29748, E:1

T1 S:29749, R 8925

T1 C:29750, E:1

T2 S:29750, R 2975

T2 C:29751, E:1

T4 S:29751, R 2975

T4 C:29753, E:2

T1 S:29753, R 8926

T1 C:29754, E:1

T6 S:29754, R 2975

T6 C:29755, E:1

T1 S:29756, R 8927

T1 C:29757, E:1

T1 S:29759, R 8928

T1 C:29760, E:1

T2 S:29760, R 2976

T2 C:29761, E:1

T4 S:29761, R 2976

T4 C:29763, E:2

T1 S:29763, R 8929

T1 C:29764, E:1

T6 S:29764, R 2976

T6 C:29765, E:1

T3 S:29765, R 1488

T3 C:29766, E:1

T1 S:29766, R 8930

T1 C:29767, E:1

T5 S:29767, R 1488

T5 C:29768, E:1

T1 S:29769, R 8931

T1 C:29770, E:1

T2 S:29770, R 2977

T2 C:29771, E:1

T4 S:29771, R 2977

T4 C:29773, E:2

T1 S:29773, R 8932

T1 C:29774, E:1

T6 S:29774, R 2977

T6 C:29775, E:1

T1 S:29776, R 8933

T1 C:29777, E:1

T1 S:29779, R 8934

T1 C:29780, E:1

T2 S:29780, R 2978

T2 C:29781, E:1

T4 S:29781, R 2978

T4 C:29783, E:2

T1 S:29783, R 8935

T1 C:29784, E:1

T6 S:29784, R 2978

T6 C:29785, E:1

T3 S:29785, R 1489

T3 C:29786, E:1

T1 S:29786, R 8936

T1 C:29787, E:1

T5 S:29787, R 1489

T5 C:29788, E:1

T1 S:29789, R 8937

T1 C:29790, E:1

T2 S:29790, R 2979

T2 C:29791, E:1

T4 S:29791, R 2979

T4 C:29793, E:2

T1 S:29793, R 8938

T1 C:29794, E:1

T6 S:29794, R 2979

T6 C:29795, E:1

T1 S:29796, R 8939

T1 C:29797, E:1

T1 S:29799, R 8940

T1 C:29800, E:1

T2 S:29800, R 2980

T2 C:29801, E:1

T4 S:29801, R 2980

T4 C:29803, E:2

T1 S:29803, R 8941

T1 C:29804, E:1

T6 S:29804, R 2980

T6 C:29805, E:1

T3 S:29805, R 1490

T3 C:29806, E:1

T1 S:29806, R 8942

T1 C:29807, E:1

T5 S:29807, R 1490

T5 C:29808, E:1

T7 S:29809 , R 298

T7 C:29810, E:1

T1 S:29810, R 8943

T1 C:29811, E:1

T2 S:29811, R 2981

T2 C:29812, E:1

T4 S:29812, R 2981

T4 C:29813, E:1

T1 S:29813, R 8944

T1 C:29814, E:1

T6 S:29814, R 2981

T6 C:29816, E:2

T1 S:29816, R 8945

T1 C:29817, E:1

T1 S:29819, R 8946

T1 C:29820, E:1

T2 S:29820, R 2982

T2 C:29821, E:1

T4 S:29821, R 2982

T4 C:29823, E:2

T1 S:29823, R 8947

T1 C:29824, E:1

T6 S:29824, R 2982

T6 C:29825, E:1

T3 S:29825, R 1491

T3 C:29826, E:1

T1 S:29826, R 8948

T1 C:29827, E:1

T5 S:29827, R 1491

T5 C:29828, E:1

T1 S:29829, R 8949

T1 C:29830, E:1

T2 S:29830, R 2983

T2 C:29831, E:1

T4 S:29831, R 2983

T4 C:29833, E:2

T1 S:29833, R 8950

T1 C:29834, E:1

T6 S:29834, R 2983

T6 C:29835, E:1

T1 S:29836, R 8951

T1 C:29837, E:1

T1 S:29839, R 8952

T1 C:29840, E:1

T2 S:29840, R 2984

T2 C:29841, E:1

T4 S:29841, R 2984

T4 C:29843, E:2

T1 S:29843, R 8953

T1 C:29844, E:1

T6 S:29844, R 2984

T6 C:29845, E:1

T3 S:29845, R 1492

T3 C:29846, E:1

T1 S:29846, R 8954

T1 C:29847, E:1

T5 S:29847, R 1492

T5 C:29848, E:1

T1 S:29849, R 8955

T1 C:29850, E:1

T2 S:29850, R 2985

T2 C:29851, E:1

T4 S:29851, R 2985

T4 C:29853, E:2

T1 S:29853, R 8956

T1 C:29854, E:1

T6 S:29854, R 2985

T6 C:29855, E:1

T1 S:29856, R 8957

T1 C:29857, E:1

T1 S:29859, R 8958

T1 C:29860, E:1

T2 S:29860, R 2986

T2 C:29861, E:1

T4 S:29861, R 2986

T4 C:29863, E:2

T1 S:29863, R 8959

T1 C:29864, E:1

T6 S:29864, R 2986

T6 C:29865, E:1

T3 S:29865, R 1493

T3 C:29866, E:1

T1 S:29866, R 8960

T1 C:29867, E:1

T5 S:29867, R 1493

T5 C:29868, E:1

T1 S:29869, R 8961

T1 C:29870, E:1

T2 S:29870, R 2987

T2 C:29871, E:1

T4 S:29871, R 2987

T4 C:29873, E:2

T1 S:29873, R 8962

T1 C:29874, E:1

T6 S:29874, R 2987

T6 C:29875, E:1

T1 S:29876, R 8963

T1 C:29877, E:1

T1 S:29879, R 8964

T1 C:29880, E:1

T2 S:29880, R 2988

T2 C:29881, E:1

T4 S:29881, R 2988

T4 C:29883, E:2

T1 S:29883, R 8965

T1 C:29884, E:1

T6 S:29884, R 2988

T6 C:29885, E:1

T3 S:29885, R 1494

T3 C:29886, E:1

T1 S:29886, R 8966

T1 C:29887, E:1

T5 S:29887, R 1494

T5 C:29888, E:1

T1 S:29889, R 8967

T1 C:29890, E:1

T2 S:29890, R 2989

T2 C:29891, E:1

T4 S:29891, R 2989

T4 C:29893, E:2

T1 S:29893, R 8968

T1 C:29894, E:1

T6 S:29894, R 2989

T6 C:29895, E:1

T1 S:29896, R 8969

T1 C:29897, E:1

T1 S:29899, R 8970

T1 C:29900, E:1

T2 S:29900, R 2990

T2 C:29901, E:1

T4 S:29901, R 2990

T4 C:29903, E:2

T1 S:29903, R 8971

T1 C:29904, E:1

T6 S:29904, R 2990

T6 C:29905, E:1

T3 S:29905, R 1495

T3 C:29906, E:1

T1 S:29906, R 8972

T1 C:29907, E:1

T5 S:29907, R 1495

T5 C:29908, E:1

T7 S:29909 , R 299

T7 C:29910, E:1

T1 S:29910, R 8973

T1 C:29911, E:1

T2 S:29911, R 2991

T2 C:29912, E:1

T4 S:29912, R 2991

T4 C:29913, E:1

T1 S:29913, R 8974

T1 C:29914, E:1

T6 S:29914, R 2991

T6 C:29916, E:2

T1 S:29916, R 8975

T1 C:29917, E:1

T1 S:29919, R 8976

T1 C:29920, E:1

T2 S:29920, R 2992

T2 C:29921, E:1

T4 S:29921, R 2992

T4 C:29923, E:2

T1 S:29923, R 8977

T1 C:29924, E:1

T6 S:29924, R 2992

T6 C:29925, E:1

T3 S:29925, R 1496

T3 C:29926, E:1

T1 S:29926, R 8978

T1 C:29927, E:1

T5 S:29927, R 1496

T5 C:29928, E:1

T1 S:29929, R 8979

T1 C:29930, E:1

T2 S:29930, R 2993

T2 C:29931, E:1

T4 S:29931, R 2993

T4 C:29933, E:2

T1 S:29933, R 8980

T1 C:29934, E:1

T6 S:29934, R 2993

T6 C:29935, E:1

T1 S:29936, R 8981

T1 C:29937, E:1

T1 S:29939, R 8982

T1 C:29940, E:1

T2 S:29940, R 2994

T2 C:29941, E:1

T4 S:29941, R 2994

T4 C:29943, E:2

T1 S:29943, R 8983

T1 C:29944, E:1

T6 S:29944, R 2994

T6 C:29945, E:1

T3 S:29945, R 1497

T3 C:29946, E:1

T1 S:29946, R 8984

T1 C:29947, E:1

T5 S:29947, R 1497

T5 C:29948, E:1

T1 S:29949, R 8985

T1 C:29950, E:1

T2 S:29950, R 2995

T2 C:29951, E:1

T4 S:29951, R 2995

T4 C:29953, E:2

T1 S:29953, R 8986

T1 C:29954, E:1

T6 S:29954, R 2995

T6 C:29955, E:1

T1 S:29956, R 8987

T1 C:29957, E:1

T1 S:29959, R 8988

T1 C:29960, E:1

T2 S:29960, R 2996

T2 C:29961, E:1

T4 S:29961, R 2996

T4 C:29963, E:2

T1 S:29963, R 8989

T1 C:29964, E:1

T6 S:29964, R 2996

T6 C:29965, E:1

T3 S:29965, R 1498

T3 C:29966, E:1

T1 S:29966, R 8990

T1 C:29967, E:1

T5 S:29967, R 1498

T5 C:29968, E:1

T1 S:29969, R 8991

T1 C:29970, E:1

T2 S:29970, R 2997

T2 C:29971, E:1

T4 S:29971, R 2997

T4 C:29973, E:2

T1 S:29973, R 8992

T1 C:29974, E:1

T6 S:29974, R 2997

T6 C:29975, E:1

T1 S:29976, R 8993

T1 C:29977, E:1

T1 S:29979, R 8994

T1 C:29980, E:1

T2 S:29980, R 2998

T2 C:29981, E:1

T4 S:29981, R 2998

T4 C:29983, E:2

T1 S:29983, R 8995

T1 C:29984, E:1

T6 S:29984, R 2998

T6 C:29985, E:1

T3 S:29985, R 1499

T3 C:29986, E:1

T1 S:29986, R 8996

T1 C:29987, E:1

T5 S:29987, R 1499

T5 C:29988, E:1

T1 S:29989, R 8997

T1 C:29990, E:1

T2 S:29990, R 2999

T2 C:29991, E:1

T4 S:29991, R 2999

T4 C:29993, E:2

T1 S:29993, R 8998

T1 C:29994, E:1

T6 S:29994, R 2999

T6 C:29995, E:1

T1 S:29996, R 8999

T1 C:29997, E:1

T1 S:29999, R 9000

***** Task 1 wcet 2 total_exectution_time 9040 execution unit 9000 *****

***** Task 2 wcet 1 total_exectution_time 2999 execution unit 2999 *****

***** Task 3 wcet 1 total_exectution_time 1499 execution unit 1499 *****

***** Task 4 wcet 2 total_exectution_time 4802 execution unit 2999 *****

***** Task 5 wcet 1 total_exectution_time 1499 execution unit 1499 *****

***** Task 6 wcet 2 total_exectution_time 3272 execution unit 2999 *****

***** Task 7 wcet 1 total_exectution_time 299 execution unit 299 *****

T1 C:30000, E:1

T2 S:30000, R 3000

T2 C:30001, E:1

T4 S:30001, R 3000

T4 C:30003, E:2

T6 S:30003, R 3000

T6 C:30004, E:1

T3 S:30004, R 1500

T3 C:30005, E:1

T5 S:30005, R 1500

T5 C:30006, E:1

T7 S:30006 , R 300

T7 C:30007, E:1
